posX,posZ,amplL,amplR
-112.22,-437.58,0,6.12
-128.06,-437.58,0,0.4
-133.4,-437.58,16.34,24.96
-135.98,-437.58,0,0.4
-149.24,-437.58,6.35,6.86
-159.74,-437.58,4.15,11.17
-154.46,-437.58,39.42,34
-157.1,-437.58,6.99,1.84
-165.08,-437.58,1.97,2.87
-162.44,-437.58,5.56,4.59
-151.82,-437.58,9.94,24.49
-170.63,-437.58,2.4,1.98
-191.75,-437.58,0,0.99
-183.83,-437.58,1.61,6.26
-189.11,-437.58,0,1.18
-199.67,-437.58,1.55,3.79
-159.38,-424.18,1.6,2.4
-146.18,-424.18,0,3.38
-143.54,-424.18,0.64,1.08
-140.9,-424.18,0.23,1.4
-114.5,-424.18,0,0.21
-135.62,-424.18,0,1.88
-162.02,-424.18,4.73,3.82
-151.46,-424.18,0,0.65
-154.1,-424.18,5.84,16.1
-156.74,-424.18,24.27,23.35
-167.32,-424.18,2.92,1.16
-164.68,-424.18,3.7,10.59
-148.84,-424.18,1.39,6.7
-175.49,-424.18,4.65,11.98
-196.61,-424.18,0,0.3
-191.33,-424.18,14.71,22.54
-106.96,-410.78,2.11,0.81
-80.56,-410.78,0,1.02
-149.23,-410.78,2.29,4.81
-151.84,-410.78,0.7,1.24
-157.12,-410.78,4.73,0.56
-167.68,-410.78,0,1.26
-165.07,-410.78,19.62,37.68
-162.4,-410.78,0.7,1.09
-159.76,-410.78,1.34,4.22
-143.92,-410.78,23.08,39.51
-141.28,-410.78,0,1.01
-138.67,-410.78,40.27,82.5
-117.52,-410.78,1.87,1.96
-96.4,-410.78,0,1.61
-136,-410.78,0,0.32
-90.6,-383.98,1.3,1.83
-148.7,-383.98,5.46,1.54
-146.04,-383.98,0,3.09
-164.54,-383.98,1.21,3.99
-161.88,-383.98,47.77,61.12
-153.98,-383.98,0,0.85
-95.88,-383.98,2.55,0
-140.76,-383.98,0.89,0
-159.24,-383.98,1.14,0
-225.56,-383.98,0,3.62
-180.68,-383.98,0,0.81
-183.35,-383.98,0,8.13
-204.44,-383.98,0,1.45
-149.22,-370.58,5.01,1.27
-6.66,-370.58,1.5,0.99
